"date","sfcity_adr","sfcity_days","sfcity_demd","sfcity_demt","sfcity_occ","sfcity_revpar","sfcity_rmrevt","sfcity_supd","sfcity_supt","sfzoneone_adr","sfzoneone_days","sfzoneone_demd","sfzoneone_demt","sfzoneone_occ","sfzoneone_revpar","sfzoneone_rmrevt","sfzoneone_supd","sfzoneone_supt","sfzonetwo_adr","sfzonetwo_days","sfzonetwo_demd","sfzonetwo_demt","sfzonetwo_occ","sfzonetwo_revpar","sfzonetwo_rmrevt","sfzonetwo_supd","sfzonetwo_supt","sfcity_strdays"
2006-07-01,151.145411459329,31,27837.5806451613,862965,0.810858426645344,122.557530530575,130433200,34331,1064261,160.70660363888,31,23495.3548387097,728356,0.805352534404253,129.425470536072,117051619,29174,904394,98.6307203081436,31,2880.93548387097,89309,0.84783269095673,83.622349009854,8808611,3398,105338,31
2006-08-01,147.267843627458,31,28257.5806451613,875985,0.823092267780178,121.215023382421,129004421.999999,34331,1064261,156.0730826643,31,23987.4193548387,743609.999999999,0.822219077083659,128.326265985842,116057505,29174,904394,97.2360289583665,31,2824.96774193548,87574,0.8313619016879,80.8383299474073,8515347.99999999,3398,105338,31
2006-09-01,163.508371550666,30,29415.1,882453,0.856808715155399,140.095397745478,144288453,34331,1029930,174.146757483219,30,24963.6333333333,748908.999999999,0.855680857384428,149.014046753959,130420074,29174,875220,101.944594457186,30,2950.36666666667,88511,0.868265646458701,88.5149892093388,9023218,3398,101940,30
2006-10-01,179.684050784613,31,28962.2903225806,897831,0.845120814782044,151.85473140243,161325911,34270,1062370,191.498629926969,31,24827.9677419354,769666.999999999,0.85103063487816,162.971200605046,147390176,29174,904394,105.648885174739,31,2779.25806451613,86157,0.817909966014164,86.4112760827052,9102391,3398,105338,31
2006-11-01,151.990131393208,30,23613.6,708408,0.687320991966469,104.466007878294,107671025,34356,1030680,161.732878153488,30,20436.3666666666,613090.999999999,0.698440419229892,112.960779220779,99156972,29260,877800,87.3700374769739,30,2099.06666666667,62972,0.617735923092015,53.9716107514224,5501866,3398,101940,30
2006-12-01,137.335769604669,31,20871.8387096774,647027,0.609467929383794,83.7017471312873,88859951,34246,1061626,146.273893912584,31,17829.4838709677,552713.999999999,0.609346680484201,89.1315116971314,80847629,29260,907060,82.4470764893358,31,2105.29032258064,65263.9999999999,0.619567487516375,51.0815280335681,5380826,3398,105338,31
2007-01-01,155.566877536308,31,19912.4193548387,617285,0.585211877823979,91.0395845302359,96029100,34026,1054806,166.610887579723,31,17237.1612903226,534352,0.589103256675413,98.1510164707958,89028861,29260,907060,82.685016185373,31,1763.83870967742,54678.9999999999,0.551544311969173,45.6044503621215,4521134,3198,99138,31
2007-02-01,156.641310875653,28,23311.5714285714,652724,0.685110545717141,107.316613975867,102243543,34026,952728,166.930833218924,28,20290.5,568134,0.693455228981545,115.759059173909,94839082,29260,819280,85.5984188049271,28,2023.78571428571,56666,0.632828553560261,54.1691235593675,4850520,3198,89544,28
2007-03-01,152.299332700284,31,24832.8709677419,769818.999999999,0.729820459876033,111.151169030134,117242920,34026,1054806,162.869466754602,31,21423.2903225806,664122,0.732169867483959,119.2481158909,108165196,29260,907060,83.3396349776034,31,2318.90322580645,71886,0.725110452097077,60.4304403962154,5990953,3198,99138,31
2007-04-01,153.831660724475,30,25645.2333333333,769356.999999999,0.753695213464213,115.942186367288,118351465,34026,1020780,163.64099867089,30,22120.0666666667,663602,0.75598313966735,123.70983595352,108592494,29260,877800,89.8944936250767,30,2394.8,71843.9999999999,0.748843026891806,67.3168647071086,6458380,3198,95940,30
2007-05-01,168.270821019085,31,27450.935483871,850979,0.802049187280751,134.961475241422,143194935,34226,1061006,178.841052973693,31,23622.1935483871,732288,0.807320353670099,144.382022137455,130963157,29260,907060,100.918020633842,31,2610.8064516129,80935,0.768336212952591,77.5389697924775,8167800,3398,105338,31
2007-06-01,154.722417247756,30,27166.4333333333,814993,0.793736730360934,122.808865579774,126097687,34226,1026780,163.944944427911,30,23297.0666666667,698912,0.796208703577125,130.534391660971,114583089,29260,877800,98.4042798208094,30,2634.06666666667,79022,0.77518147930155,76.2811752010987,7776103,3398,101940,30
2007-07-01,162.683574645677,31,28691.6774193548,889442,0.839821959353555,136.625238413572,144697604,34164,1059084,172.220369233687,31,24490.1290322581,759194,0.83698322051463,144.14555927943,130748671,29260,907060,106.188804166713,31,2923.32258064516,90623,0.860306821849665,91.354952628681,9623148,3398,105338,31
2007-08-01,163.066465299779,31,29475.9677419355,913755,0.861946011110199,140.554489310985,149002798,34197,1060107,172.367169279409,31,25242.2903225806,782511,0.861717486176924,148.531803810885,134879206,29293,908083,112.8925332477,31,2913.12903225806,90307,0.857306954755169,96.7835538931819,10194986,3398,105338,31
2007-09-01,177.513034679609,30,29615.8666666667,888476,0.867305082925782,153.957957263205,157716071,34147,1024410,188.042320180363,30,25326.7666666667,759803,0.864601326824384,162.581639527077,142875119,29293,878790,112.61951452961,30,2995.03333333333,89851,0.881410633706102,99.2640376692172,10118976,3398,101940,30
2007-10-01,191.696665317667,31,29173.3548387097,904374,0.854972007464676,163.89528277093,173365480,34122,1057782,204.272792301359,31,25073.5483870968,777280,0.855956999525374,174.848726382941,158777156,29293,908083,87.7063855892029,31,2892.09677419355,89655,0.851117355560197,74.6484269684254,7863315.99999999,3398,105338,31
2007-11-01,174.453049724986,30,25780.4666666667,773414,0.75553797159213,131.805903327277,134924431,34122,1023660,185.739855593063,30,22178.0666666667,665342,0.757111482834352,140.625777489503,123580527,29293,878790,78.4815417035227,30,2562.53333333333,76875.9999999999,0.754129880321757,59.1852756523445,6033347,3398,101940,30
2007-12-01,142.550440954098,31,21994.0967741935,681816.999999999,0.645290951009081,91.9865096100337,97193314,34084,1056604,150.733091495639,31,18958.7741935484,587721.999999999,0.647211763682394,97.5562299921923,88589154,29293,908083,84.3951642809464,31,2174.67741935484,67415,0.639987468909605,54.0118475763732,5689500,3398,105338,31
2008-01-01,161.605353200031,31,20891.935483871,647650,0.621839315530284,100.492562219937,104663707,33597,1041507,172.330323530295,31,18277.1935483871,566592.999999999,0.623135711308413,107.385178733059,97641155,29331,909261,96.6895750232434,31,2151.16129032258,66685.9999999999,0.633066889441606,61.2109685013955,6447841,3398,105338,31
2008-02-01,171.6988788491,28,24130.1785714285,675644.999999999,0.706655886942587,121.332023520159,116007489,34147,956116,182.710095427564,28,21111.75,591128.999999999,0.706527559318629,129.08971778531,108005236,29881,836668,123.482112779466,28,2480.82142857142,69462.9999999999,0.730082821827965,90.1521693433112,8577438,3398,95144,28
2008-03-01,169.009463135594,31,25838.8064516129,801003,0.756693309854831,127.88833005686,135377087,34147,1058557,178.944868437676,31,22469.4193548387,696551.999999999,0.751963433447297,134.55999766817,124644406,29881,926311,91.911300193704,31,2714.48387096774,84149,0.798847519413697,73.4231141658281,7734244,3398,105338,31
2008-04-01,165.483467700258,30,25800,774000,0.755556857117756,125.032168760555,128084204,34147,1024410,174.669722931715,30,22616.5666666667,678497,0.756887877469518,132.205395847975,118512883,29881,896430,120.228642823677,30,2561.2,76835.9999999999,0.75373749264273,90.6208357857563,9237888,3398,101940,30
2008-05-01,170.213821788281,31,26586.3548387097,824177,0.778585376129958,132.525992459546,140286317,34147,1058557,178.766036735866,31,23250.5483870968,720767,0.778104761791666,139.098704430801,128848660,29881,926311,122.576223725799,31,2684.16129032258,83209,0.789923864132602,96.8258842962654,10199445,3398,105338,31
2008-06-01,183.493456557957,30,28590.9666666667,857729,0.837290733202526,153.637370779278,157387659,34147,1024410,192.754808878175,30,25000.6333333333,750018.999999999,0.836673248329484,161.272792075232,144569769,29881,896430,128.622834009992,30,2848.96666666667,85469,0.838424563468707,107.840543456935,10993265,3398,101940,30
2008-07-01,171.690546986344,31,29628.0322580645,918469,0.867661354088632,148.969252482389,157692445,34147,1058557,179.199994025756,31,25917.7096774194,803449,0.867364200576264,155.431659561422,143978056,29881,926311,129.44651767095,31,2954.54838709677,91591,0.869496288139133,112.553266627428,11856136,3398,105338,31
2008-08-01,170.511411112097,31,30907.9032258065,958145,0.903739860403697,154.097958875684,163374656,34200,1060200,177.56929904918,31,27008.935483871,837277,0.902282871780282,160.217737086106,148674690,29934,927954,112.446322521699,31,3106.96774193548,96316,0.914351895802085,102.815508173689,10830380,3398,105338,31
2008-09-01,191.936708556242,30,29097.6666666667,872930,0.850808966861598,163.301472709552,167547311,34200,1026000,201.88463006465,30,25413.9,762416.999999999,0.848997795149327,171.399605799425,153920274,29934,898020,114.287167368746,30,2919.9,87597,0.859299587992937,98.2069158328429,10011213,3398,101940,30
2008-10-01,191.412830676002,31,27776.6774193548,861077,0.812183550273533,155.462352386342,164821186,34200,1060200,201.646912497699,31,24353.6451612903,754963,0.813578043739237,164.055500595935,152235958,29934,927954,71.2934731162438,31,2726.1935483871,84512,0.802293569272247,57.1982950122463,6025154,3398,105338,31
2008-11-01,160.466347604044,30,22322.3333333333,669670,0.652699805068226,104.73635380117,107459499,34200,1026000,170.085009868645,30,19590.6666666666,587719.999999999,0.654462038707377,111.314182312198,99962362,29934,898020,100.760268306989,30,2216.36666666667,66491,0.652256229154405,65.7215126545026,6699651,3398,101940,30
2008-12-01,157.512577765373,31,22768.0322580645,705809,0.665731937370307,104.861153555933,111173795,34200,1060200,165.959518436859,31,19956.5161290323,618652,0.666683908900657,110.642540470756,102671188,29934,927954,70.161437023309,31,2262.74193548387,70144.9999999999,0.665904042225976,46.7207845222047,4921474,3398,105338,31
2009-01-01,153.043535019083,31,20040.2258064516,621247,0.587173331569048,89.863082332259,95077837,34130,1058030,162.658199470884,31,17655.7419354839,547328,0.590690596704044,96.0806689042619,89027387,29890,926590,73.0382378337869,31,1979.96774193548,61378.9999999999,0.582686210104615,42.5583739960888,4483014,3398,105338,31
2009-02-01,137.150521276284,28,19485.1428571429,545584,0.570909547528358,78.3005420451216,74827130,34130,955640,145.077409655583,28,17056.75,477588.999999999,0.570650719304114,82.7885281747359,69287375,29890,836920,103.936908347677,28,1992,55775.9999999999,0.586227192466156,60.9306419742706,5797185,3398,95144,28
2009-03-01,145.310660174291,31,23153.7096774194,717765,0.67681115689621,98.347876021914,104298906,34210,1060510,154.190034433481,31,20338.4193548387,630491,0.678625937765723,104.63735671155,97215429,29970,929070,87.024544286129,31,2334.16129032258,72358.9999999999,0.686922098388045,59.7790825722911,6297009,3398,105338,31
2009-04-01,141.450850100973,30,25006.8333333333,750204.999999999,0.730980220208515,103.397773555491,106117135,34210,1026300,149.136546873009,30,21978.5333333333,659356,0.733351128906684,109.369455010566,98334077,29970,899100,97.1761308820132,30,2453.1,73593,0.721924661565627,70.1538453992545,7151483,3398,101940,30
2009-05-01,141.473635626714,31,24951.1935483871,773487,0.729353801472876,103.184333952532,109428018,34210,1060510,148.362813408518,31,21847.4516129032,677270.999999999,0.728977364461234,108.153132702595,100481831,29970,929070,93.1431117401161,31,2461.64516129032,76311,0.724439423569842,67.4765421785111,7107844,3398,105338,31
2009-06-01,136.038806270195,30,27193.2,815796,0.794890382928968,108.135938809315,110979914,34210,1026300,142.276579587935,30,23923.4333333333,717703,0.798246023801579,113.571713936158,102112328,29970,899100,110.245833548321,30,2584.13333333333,77524,0.760486560721993,83.8404747890916,8546698,3398,101940,30
2009-07-01,140.032362265691,31,29080.064516129,901482,0.850045732713506,119.033911985743,126236654,34210,1060510,146.279784766347,31,25490.6774193548,790211,0.850539787098927,124.416776992046,115591895,29970,929070,101.939185002422,31,2863.25806451613,88761,0.842630389792857,85.8970551937572,9048224,3398,105338,31
2009-08-01,137.90493913222,31,30171.1612903226,935306,0.881939821406682,121.623857389369,128983317,34210,1060510,143.728937299914,31,26440.2580645161,819648,0.882224159643515,126.801140925872,117807136,29970,929070,93.2928156474139,31,2981.83870967742,92437,0.877527577892119,81.8670185498111,8623708,3398,105338,31
2009-09-01,160.504600875211,30,29356.7333333333,880702,0.858133099483582,137.73431063042,141356723,34210,1026300,168.383754526593,30,25865.6666666667,775970,0.863051940829719,145.323926148371,130660742,29970,899100,114.54190401595,30,2808.8,84264,0.826603884638022,94.6807828134197,9651759,3398,101940,30
2009-10-01,183.150118324931,31,29157,903867,0.850306211723535,155.733683289589,165543348,34290,1062990,191.748617515547,31,25841.7419354839,801094,0.859958134292308,164.8957833718,153608667,30050,931550,59.5829241809083,31,2733.16129032258,84728,0.804344111336839,47.925174201143,5048342,3398,105338,31
2009-11-01,142.12520807796,30,22787.9333333333,683637.999999999,0.672329419169567,95.5549585964084,97162193,33894,1016820,148.842790344177,30,20438.1,613143,0.680136439267887,101.233405435385,91261915,30050,901500,79.4616248047892,30,2049.06666666667,61472,0.603021385128507,47.9170590543457,4884665,3398,101940,30
2009-12-01,126.715773784215,31,20863.3225806452,646763,0.615546190495225,77.999411828528,81955074,33894,1050714,132.338593274929,31,18598.6774193548,576559,0.618924373356234,81.9075809135311,76301006.9999999,30050,931550,74.5091769127343,31,1991.32258064516,61731,0.586027834209877,43.6644515749302,4599526,3398,105338,31
2010-01-01,140.308272928867,31,20569.2258064516,637645.999999999,0.606887139127595,85.1512863537337,89467009,33893,1050683,147.445795000237,31,18404.7419354839,570547,0.61249099588951,90.3092218194154,84124756,30049,931519,74.1864112086428,31,1910.96774193548,59240,0.562380147714975,41.7209648939604,4394803,3398,105338,31
2010-02-01,135.850290295825,28,22477.0714285714,629358,0.663177394405081,90.0928415475593,85498467,33893,949004,142.128348456965,28,20202.5357142857,565671,0.672319734909172,95.5556935576653,80397885,30049,841372,102.715496324841,28,2001.85714285714,56052,0.58912805852182,60.5125809299588,5757409,3398,95144,28
